Script,group,time,OI
12100CE,CE,08:59,3538050
12100CE,CE,09:15,3530925
12100CE,CE,09:29,3395700
12100CE,CE,09:31,3395700
12100CE,CE,09:40,3294150
12100CE,CE,09:40,3294150
12100CE,CE,09:50,3142500
12100CE,CE,09:50,3142500
12100CE,CE,10:00,3124875
12100CE,CE,10:12,3036225
12100CE,CE,10:12,3036225
12100CE,CE,10:20,3013125
12100CE,CE,10:20,3013125
12100CE,CE,10:30,3045900
12100CE,CE,10:30,3045900
12100CE,CE,10:41,2860950
12100CE,CE,10:41,2860950
12100CE,CE,10:49,2741850
12100CE,CE,10:49,2741850
12100CE,CE,10:59,2765550
12100CE,CE,10:59,2765550
12100CE,CE,11:11,2720025
12100CE,CE,11:11,2720025
12100CE,CE,11:20,2706600
12100CE,CE,11:20,2706600
12100CE,CE,11:29,2707875
12100CE,CE,11:29,2707875
12100CE,CE,11:40,2712525
12100CE,CE,11:40,2712525
12100CE,CE,11:50,2714775
12100CE,CE,12:58,2686050
12100CE,CE,13:03,2688225
12100CE,CE,13:10,2695425
12100CE,CE,13:16,2719050
12100CE,CE,13:21,2716050
12100CE,CE,13:24,2702775
12100CE,CE,13:29,2724075
12100CE,CE,13:35,2716425
12100CE,CE,13:39,2640450
12100CE,CE,13:44,2709300
12100CE,CE,13:51,2808525
12100CE,CE,13:54,2703525
12100CE,CE,13:59,2640375
12100CE,CE,14:05,2641125
12100CE,CE,14:09,2652225
12100CE,CE,14:20,2598900
12100CE,CE,14:20,2598900
12100CE,CE,14:28,2546325
12100CE,CE,14:28,2546325
12100CE,CE,14:40,2409600
12100CE,CE,14:40,2409600
12100CE,CE,14:49,2219325
12100CE,CE,14:49,2219325
12100CE,CE,14:58,2256300
12100CE,CE,14:58,2256300
12100CE,CE,15:10,2200125
12100CE,CE,15:10,2200125
12100CE,CE,15:19,2120925
12100CE,CE,15:19,2120925
12100CE,CE,15:28,1997700
12100CE,CE,15:28,1997700
12100CE,CE,15:30,1997700
12100CE,CE,15:30,1997700
12100CE,CE,15:30,1997700
12100CE,CE,15:30,1997700
12100CE,CE,15:30,1997700
12100CE,CE,15:30,1997700
12100CE,CE,15:30,1997700
12100CE,CE,15:30,1997700
12100CE,CE,15:30,1997700
12100CE,CE,15:30,1997700
12100CE,CE,15:30,1997700
12100CE,CE,15:30,1997700
Script,Group,time,OI
12100PE,PE,08:59,1878600
12100PE,PE,09:15,2177550
12100PE,PE,09:29,3159600
12100PE,PE,09:31,3159600
12100PE,PE,09:40,3442875
12100PE,PE,09:40,3442875
12100PE,PE,09:50,3839325
12100PE,PE,09:50,3839325
12100PE,PE,10:00,3854325
12100PE,PE,10:12,3951525
12100PE,PE,10:12,3951525
12100PE,PE,10:20,3942675
12100PE,PE,10:20,3942675
12100PE,PE,10:30,3979350
12100PE,PE,10:30,3979350
12100PE,PE,10:41,4091025
12100PE,PE,10:41,4091025
12100PE,PE,10:49,4127475
12100PE,PE,10:49,4127475
12100PE,PE,10:59,4182825
12100PE,PE,10:59,4182825
12100PE,PE,11:11,4200000
12100PE,PE,11:11,4200000
12100PE,PE,11:20,4247100
12100PE,PE,11:20,4247100
12100PE,PE,11:29,4285350
12100PE,PE,11:29,4285350
12100PE,PE,11:40,4275075
12100PE,PE,11:40,4275075
12100PE,PE,11:50,4346925
12100PE,PE,12:58,4435050
12100PE,PE,13:03,4459200
12100PE,PE,13:10,4446300
12100PE,PE,13:16,4431600
12100PE,PE,13:21,4436100
12100PE,PE,13:24,4433925
12100PE,PE,13:29,4434975
12100PE,PE,13:35,4351575
12100PE,PE,13:39,3637575
12100PE,PE,13:44,3355800
12100PE,PE,13:51,3306825
12100PE,PE,13:54,3621525
12100PE,PE,13:59,3652800
12100PE,PE,14:05,3752550
12100PE,PE,14:09,3775800
12100PE,PE,14:20,3830700
12100PE,PE,14:20,3830700
12100PE,PE,14:28,3783975
12100PE,PE,14:28,3783975
12100PE,PE,14:40,3758400
12100PE,PE,14:40,3758400
12100PE,PE,14:49,3299475
12100PE,PE,14:49,3299475
12100PE,PE,14:58,3228450
12100PE,PE,14:58,3228450
12100PE,PE,15:10,3075900
12100PE,PE,15:10,3075900
12100PE,PE,15:19,2909250
12100PE,PE,15:19,2909250
12100PE,PE,15:28,2755275
12100PE,PE,15:28,2755275
12100PE,PE,15:30,2755275
12100PE,PE,15:30,2755275
12100PE,PE,15:30,2755275
12100PE,PE,15:30,2755275
12100PE,PE,15:30,2755275
12100PE,PE,15:30,2755275
12100PE,PE,15:30,2755275
12100PE,PE,15:30,2755275
12100PE,PE,15:30,2755275
12100PE,PE,15:30,2755275
12100PE,PE,15:30,2755275
12100PE,PE,15:30,2755275"
